comment;file_comment;system;pop_size;stop_gen;rule_no;cross_value;measure;mutation_val;mutation_type;crossover_value;crossover_type;selection;configuration;time_avg;time_dev;gen_avg;gen_dev;tr_fsc_avg;tr_fsc_dev;tr_fsc_min;tr_fsc_max;tr_acc_avg;tr_acc_dev;tr_acc_min;tr_acc_max;tst_fsc_avg;tst_fsc_dev;tst_fsc_min;tst_fsc_max;tst_acc_avg;tst_acc_dev;tst_acc_min;tst_acc_max;time
testCrossvalidationWed Apr 28 00:40:36 CEST 2010;Sel 200x400;[CAREX2,4];50;200;5;3;Fit ACC;0,01;SM;0,0;SCX;2;;1;0,3625;200;0,0000;0,9643389880657196;0,0127;0,9348;0,9853;0,9766;0,0082;0,9533;0,9900;0,9371;0,0279;0,8801;0,9800;0,9589;0,0184;0,9200;0,9867;1,070
testCrossvalidationWed Apr 28 00:40:36 CEST 2010;simpleEA 100x400;[CAREX2,4];50;400;6;2;Fit ACC;0,01;SM;0,01;SCX;2;;4;0,7093;400;0,0000;0,9131909549236298;0,0279;0,8295;0,9511;0,9442;0,0153;0,9064;0,9700;0,8375;0,0462;0,7322;0,9363;0,9013;0,0235;0,8502;0,9551;3,804
